                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0648,                0.67631,                 1.0586,                0.70279,                0.86005,                0.75212,                0.53823,                 1.0827,                 1.2857,                 1.0851,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.0787,                0.67081,                 1.0532,                0.68898,                  0.847,                0.74523,                0.53312,                 1.0905,                 1.3281,                 1.0844,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.0683,                0.66021,                 1.0517,                0.69964,                 0.8234,                0.76285,                0.54511,                 1.0751,                  1.271,                 1.0876,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.0697,                0.66675,                 1.0561,                0.69428,                 0.8418,                0.74918,                0.53403,                 1.0924,                 1.3779,                 1.0899,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.0671,                0.65861,                 1.0508,                  0.697,                 0.8627,                0.74686,                0.53232,                 1.0864,                 1.3002,                 1.0861,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.0533,                0.64766,                 1.0488,                0.69665,                0.85256,                0.75561,                 0.5392,                 1.0833,                 1.2757,                 1.0807,             0.00056703,             0.00056703,             0.00056703
                     41,                 1.0599,                0.64751,                 1.0403,                0.68253,                 0.8659,                0.75207,                0.53558,                 1.0829,                 1.2906,                 1.0762,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.0307,                0.62849,                 1.0294,                0.68152,                0.87098,                0.76447,                0.54972,                 1.0776,                 1.2862,                 1.0736,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.0465,                0.63636,                 1.0418,                0.70826,                0.85998,                0.76412,                0.54597,                 1.0704,                 1.2569,                 1.0698,             0.00054004,             0.00054004,             0.00054004
                     44,                 1.0534,                0.63752,                 1.0445,                0.68453,                0.88222,                 0.7531,                0.54257,                 1.0737,                 1.3351,                  1.069,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.0265,                0.63111,                 1.0339,                0.69548,                0.86081,                0.77149,                0.56163,                 1.0528,                 1.3001,                 1.0573,             0.00052204,             0.00052204,             0.00052204
                     46,                 1.0495,                 0.6437,                 1.0481,                0.69975,                0.90084,                0.76701,                0.55889,                 1.0648,                 1.2994,                 1.0768,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.0304,                0.61435,                 1.0338,                 0.6914,                0.89575,                0.76548,                0.55699,                  1.049,                 1.2357,                 1.0583,             0.00050404,             0.00050404,             0.00050404
                     48,                 1.0387,                 0.6233,                 1.0437,                0.69532,                0.89356,                0.78203,                0.56512,                 1.0583,                 1.2284,                 1.0578,             0.00049504,             0.00049504,             0.00049504
                     49,                 1.0254,                0.60821,                 1.0341,                 0.6989,                0.88562,                0.77725,                 0.5617,                 1.0567,                 1.2871,                 1.0617,             0.00048604,             0.00048604,             0.00048604
                     50,                 1.0318,                0.60454,                 1.0309,                0.68911,                0.87471,                0.76838,                0.56192,                  1.044,                  1.232,                 1.0667,             0.00047704,             0.00047704,             0.00047704
                     51,                 1.0279,                0.62431,                 1.0394,                 0.6944,                0.89102,                0.77104,                0.56786,                 1.0282,                 1.2179,                 1.0462,             0.00046804,             0.00046804,             0.00046804
                     52,                 1.0287,                0.60395,                 1.0301,                0.69555,                0.89315,                 0.7793,                0.56111,                 1.0557,                 1.2685,                 1.0686,             0.00045904,             0.00045904,             0.00045904
                     53,                 1.0302,                0.59928,                 1.0255,                0.69596,                0.89263,                0.76578,                0.56296,                 1.0403,                 1.2079,                 1.0549,             0.00045005,             0.00045005,             0.00045005
                     54,                 1.0271,                0.60882,                 1.0322,                0.69957,                0.90219,                0.77003,                0.56196,                 1.0419,                  1.281,                 1.0594,             0.00044105,             0.00044105,             0.00044105
                     55,                  1.009,                 0.5923,                 1.0224,                0.69986,                0.87647,                0.76629,                0.56203,                 1.0095,                 1.2301,                 1.0453,             0.00043205,             0.00043205,             0.00043205
                     56,                 1.0268,                0.59327,                 1.0273,                0.70841,                0.89009,                0.75953,                 0.5562,                 1.0462,                 1.2321,                 1.0549,             0.00042305,             0.00042305,             0.00042305
                     57,                 1.0087,                  0.588,                 1.0207,                0.71369,                0.88235,                0.77259,                0.56251,                 1.0554,                  1.239,                 1.0617,             0.00041405,             0.00041405,             0.00041405
                     58,                 1.0211,                0.60023,                 1.0321,                 0.7051,                0.90474,                0.77226,                0.56985,                 1.0279,                 1.2104,                 1.0506,             0.00040505,             0.00040505,             0.00040505
                     59,                 1.0073,                0.59125,                 1.0245,                0.70237,                0.90573,                0.77833,                0.56271,                 1.0326,                 1.2131,                 1.0575,             0.00039605,             0.00039605,             0.00039605
                     60,                 1.0093,                0.58037,                 1.0215,                0.70304,                0.89436,                0.76009,                0.55275,                 1.0277,                 1.2728,                 1.0489,             0.00038705,             0.00038705,             0.00038705
                     61,                  1.013,                0.57877,                 1.0227,                 0.7095,                0.88681,                0.77348,                0.56928,                 1.0134,                 1.1871,                 1.0409,             0.00037805,             0.00037805,             0.00037805
                     62,                 1.0021,                0.58609,                 1.0369,                0.69776,                0.90511,                0.77842,                0.56986,                 1.0117,                  1.223,                 1.0323,             0.00036905,             0.00036905,             0.00036905
                     63,                0.99966,                0.57633,                 1.0204,                0.71947,                0.91505,                0.78516,                0.58144,                 1.0113,                 1.2186,                 1.0383,             0.00036005,             0.00036005,             0.00036005
                     64,                 1.0032,                0.57176,                 1.0223,                0.71352,                0.92799,                0.78552,                0.57734,                  1.006,                 1.2241,                 1.0374,             0.00035106,             0.00035106,             0.00035106
                     65,                  1.003,                0.57013,                 1.0171,                 0.7136,                0.89799,                0.78275,                0.57275,                 1.0353,                 1.2026,                 1.0481,             0.00034206,             0.00034206,             0.00034206
                     66,                0.99877,                0.56264,                 1.0178,                0.72282,                0.89078,                0.78867,                0.58149,                 1.0154,                 1.2499,                 1.0336,             0.00033306,             0.00033306,             0.00033306
                     67,                0.99694,                 0.5671,                 1.0167,                0.71878,                0.89632,                0.78094,                0.57754,                 1.0143,                 1.2213,                 1.0384,             0.00032406,             0.00032406,             0.00032406
                     68,                0.98772,                0.55342,                 1.0118,                0.71825,                0.91408,                0.79416,                0.58914,                 1.0054,                 1.2042,                 1.0346,             0.00031506,             0.00031506,             0.00031506
                     69,                0.98447,                 0.5726,                 1.0184,                0.69838,                0.93303,                0.78247,                0.58548,                 1.0001,                 1.1555,                 1.0303,             0.00030606,             0.00030606,             0.00030606
                     70,                0.98925,                0.57196,                 1.0192,                0.72546,                0.91977,                0.79129,                0.58749,                 1.0077,                  1.201,                 1.0389,             0.00029706,             0.00029706,             0.00029706
                     71,                0.98355,                0.55366,                 1.0155,                0.72204,                0.91171,                0.79252,                0.58893,                 1.0005,                 1.1636,                 1.0368,             0.00028806,             0.00028806,             0.00028806
                     72,                0.98262,                0.55367,                 1.0123,                 0.7044,                0.92474,                0.78485,                0.58488,                0.99845,                  1.204,                 1.0269,             0.00027906,             0.00027906,             0.00027906
                     73,                0.97037,                0.54088,                 1.0071,                0.72783,                 0.9119,                0.77627,                0.57324,                 1.0011,                 1.2133,                 1.0284,             0.00027006,             0.00027006,             0.00027006
                     74,                0.98061,                0.54659,                 1.0073,                0.70802,                0.91566,                0.77357,                0.57429,                0.99287,                 1.1899,                 1.0227,             0.00026106,             0.00026106,             0.00026106
                     75,                0.97626,                0.54084,                 1.0101,                0.71265,                0.91454,                0.77866,                0.58408,                0.99172,                 1.1846,                  1.021,             0.00025207,             0.00025207,             0.00025207
                     76,                 0.9596,                0.53538,                 1.0002,                0.72213,                 0.9206,                0.78149,                0.58393,                0.98524,                 1.1951,                 1.0172,             0.00024307,             0.00024307,             0.00024307
                     77,                0.98247,                0.53507,                 1.0117,                0.70781,                0.92853,                0.78738,                 0.5914,                0.99307,                 1.2216,                 1.0227,             0.00023407,             0.00023407,             0.00023407
                     78,                0.96752,                0.54065,                 1.0084,                0.70725,                0.92668,                 0.7919,                0.59585,                0.97491,                 1.1993,                 1.0146,             0.00022507,             0.00022507,             0.00022507
                     79,                 0.9697,                0.53625,                  1.008,                0.70283,                0.94252,                0.79253,                0.59708,                0.96781,                 1.1819,                 1.0121,             0.00021607,             0.00021607,             0.00021607
                     80,                0.96038,                0.52752,                0.99897,                0.71128,                0.92256,                0.79569,                0.59396,                0.98434,                 1.1808,                 1.0164,             0.00020707,             0.00020707,             0.00020707
                     81,                0.96529,                 0.5329,                 1.0066,                0.71133,                0.93196,                0.79758,                0.60041,                 0.9698,                 1.1678,                 1.0093,             0.00019807,             0.00019807,             0.00019807
                     82,                0.96655,                0.53024,                 1.0089,                0.72412,                0.91537,                 0.7964,                0.60042,                0.96602,                 1.1579,                 1.0096,             0.00018907,             0.00018907,             0.00018907
                     83,                 0.9615,                 0.5251,                 1.0024,                0.70662,                0.92545,                0.78491,                0.59163,                0.96621,                 1.1927,                 1.0117,             0.00018007,             0.00018007,             0.00018007
                     84,                0.96335,                0.52073,                 1.0043,                0.71368,                0.93573,                0.79327,                0.60263,                0.96471,                 1.1546,                 1.0088,             0.00017107,             0.00017107,             0.00017107
                     85,                0.96759,                0.52776,                 1.0071,                0.72758,                0.92631,                0.79123,                0.60078,                0.96003,                 1.2067,                 1.0083,             0.00016207,             0.00016207,             0.00016207
                     86,                0.94922,                0.51785,                0.99818,                0.72299,                0.90411,                0.79086,                0.59444,                0.95247,                 1.1849,                 1.0018,             0.00015308,             0.00015308,             0.00015308
                     87,                0.95512,                 0.5194,                 1.0002,                0.72187,                0.93242,                0.78616,                0.59414,                0.95189,                 1.1754,                 1.0034,             0.00014408,             0.00014408,             0.00014408
                     88,                0.95866,                0.52238,                0.99604,                0.72449,                0.93566,                0.79353,                0.59881,                0.95831,                 1.1778,                 1.0044,             0.00013508,             0.00013508,             0.00013508
                     89,                 0.9518,                0.51575,                 1.0001,                0.72292,                0.93201,                0.79172,                0.60312,                0.93964,                 1.1473,                0.99659,             0.00012608,             0.00012608,             0.00012608
