DATE,START_TIME,BUS,JEEP,MOTORCYCLE,TRICYCLE,VAN,CAR,TRUCK,IN_COUNT,OUT_COUNT,TOTAL,END_TIME
2023-12-19,22:30:16,1,3,4,1,2,63,6,23,57,80,22:32:35
2023-12-20,19:12:03,0,0,0,0,0,0,0,0,0,0,19:12:03
2023-12-20,19:13:19,0,1,17,5,3,28,1,14,41,55,19:14:39
2023-12-20,19:15:31,2,3,12,1,9,17,0,21,23,44,19:16:10
2023-12-20,19:16:46,3,4,10,5,6,17,0,12,33,45,19:17:32
2023-12-20,19:42:35,3,4,6,3,1,34,0,22,29,51,19:43:40
2023-12-20,19:43:48,2,0,6,0,1,19,0,12,16,28,19:44:13
2023-12-20,19:44:50,3,4,9,3,4,16,0,14,25,39,19:45:42
2023-12-20,19:45:48,3,4,9,3,3,14,0,14,22,36,19:46:32
